district,Sex,Age,month of estimation,population
GT - Ekurhuleni Metropolitan Municipality,Male,0-4,2019-07-31,179295.8066249901
GT - Ekurhuleni Metropolitan Municipality,Male,10-14,2019-07-31,143731.55000828576
GT - Ekurhuleni Metropolitan Municipality,Male,15-19,2019-07-31,134698.09853403523
GT - Ekurhuleni Metropolitan Municipality,Male,18-34,2019-07-31,612271.2422129919
GT - Ekurhuleni Metropolitan Municipality,Male,35-49,2019-07-31,439220.0771696187
GT - Ekurhuleni Metropolitan Municipality,Male,5-9,2019-07-31,164272.53147491033
GT - Ekurhuleni Metropolitan Municipality,Male,50-59,2019-07-31,165978.3038592081
GT - Ekurhuleni Metropolitan Municipality,Male,60+,2019-07-31,145920.97914369436
GT - Sedibeng District Municipality (DC42),Female,0-4,2019-07-31,38021.47260462934
GT - Sedibeng District Municipality (DC42),Female,10-14,2019-07-31,36654.947003168396
GT - Sedibeng District Municipality (DC42),Female,15-19,2019-07-31,34854.887466899105
GT - Sedibeng District Municipality (DC42),Female,18-34,2019-07-31,125621.42977146048
GT - Sedibeng District Municipality (DC42),Female,35-49,2019-07-31,83184.09331402622
GT - Sedibeng District Municipality (DC42),Female,5-9,2019-07-31,37797.48457465673
GT - Sedibeng District Municipality (DC42),Female,50-59,2019-07-31,45895.84912869304
GT - Sedibeng District Municipality (DC42),Female,60+,2019-07-31,62516.0917757083
GT - Sedibeng District Municipality (DC42),Male,0-4,2019-07-31,40663.69877404865
GT - Sedibeng District Municipality (DC42),Male,10-14,2019-07-31,39511.41090848311
GT - Sedibeng District Municipality (DC42),Male,15-19,2019-07-31,37885.11738320958
GT - Sedibeng District Municipality (DC42),Male,18-34,2019-07-31,149590.64656610735
GT - Sedibeng District Municipality (DC42),Male,35-49,2019-07-31,99008.81178157462
GT - Sedibeng District Municipality (DC42),Male,5-9,2019-07-31,41063.102111368375
GT - Sedibeng District Municipality (DC42),Male,50-59,2019-07-31,42938.94110446591
GT - Sedibeng District Municipality (DC42),Male,60+,2019-07-31,49568.1357798448
GT - West Rand DM (DC48),Female,0-4,2019-07-31,40926.52307038666
GT - West Rand DM (DC48),Female,10-14,2019-07-31,34330.04938190707
GT - West Rand DM (DC48),Female,15-19,2019-07-31,34161.80031342012
GT - West Rand DM (DC48),Female,18-34,2019-07-31,133661.08070091088
GT - West Rand DM (DC48),Female,35-49,2019-07-31,89202.7893056273
GT - West Rand DM (DC48),Female,5-9,2019-07-31,37775.34710249699
GT - West Rand DM (DC48),Female,50-59,2019-07-31,42864.70695628437
GT - West Rand DM (DC48),Female,60+,2019-07-31,38645.23079453974
GT - West Rand DM (DC48),Male,0-4,2019-07-31,42434.8028711674
GT - West Rand DM (DC48),Male,10-14,2019-07-31,34357.8057640407
GT - West Rand DM (DC48),Male,15-19,2019-07-31,33658.271346669026
GT - West Rand DM (DC48),Male,18-34,2019-07-31,142592.93648108144
GT - West Rand DM (DC48),Male,35-49,2019-07-31,96990.67950443803
GT - West Rand DM (DC48),Male,5-9,2019-07-31,38603.52372657304
GT - West Rand DM (DC48),Male,50-59,2019-07-31,50514.22921610396
GT - West Rand DM (DC48),Male,60+,2019-07-31,42813.61686794777
KZN - Amajuba District Municipality (DC25),Female,0-4,2019-07-31,30373.471341452696
KZN - Amajuba District Municipality (DC25),Female,10-14,2019-07-31,28934.451861235953
KZN - Amajuba District Municipality (DC25),Female,15-19,2019-07-31,25187.585838062812
KZN - Amajuba District Municipality (DC25),Female,18-34,2019-07-31,75762.30355497051
KZN - Amajuba District Municipality (DC25),Female,35-49,2019-07-31,48751.226898062734
KZN - Amajuba District Municipality (DC25),Female,5-9,2019-07-31,30291.655175605643
KZN - Amajuba District Municipality (DC25),Female,50-59,2019-07-31,21538.911146888517
KZN - Amajuba District Municipality (DC25),Female,60+,2019-07-31,27491.549137300295
KZN - Amajuba District Municipality (DC25),Male,0-4,2019-07-31,31173.62736630377
KZN - Amajuba District Municipality (DC25),Male,10-14,2019-07-31,29375.094407899887
KZN - Amajuba District Municipality (DC25),Male,15-19,2019-07-31,25634.637470488808
KZN - Amajuba District Municipality (DC25),Male,18-34,2019-07-31,75777.9425846046
KZN - Amajuba District Municipality (DC25),Male,35-49,2019-07-31,42464.65106983308
KZN - Amajuba District Municipality (DC25),Male,5-9,2019-07-31,30888.08346389188
